freshBlood,hotStreak,inactive,leaguePoints,losses,rank,summonerName,tier,veteran,wins
False,False,False,0,9,IV,TheOnnomise,iron,False,0
False,False,False,45,147,IV,headlezz2,iron,False,77
False,False,False,64,8,IV,A Fat Baboon,iron,False,1
False,False,False,0,65,IV,Iron Monkeý,iron,False,19
False,False,False,0,84,IV,DrTryll,iron,True,46
False,False,False,70,7,IV, zZMouseZz,iron,False,1
False,False,False,0,87,IV,xoid01,iron,True,36
False,False,False,13,102,IV,ED BENG ,iron,True,51
False,False,False,50,108,IV,MyDadTouchedMe,iron,True,56
False,False,False,23,87,IV,Yah Cabbage,iron,False,26
False,False,False,55,84,IV,Samline21,iron,True,48
False,False,False,30,16,IV,Zeloxin,iron,False,2
False,False,False,0,148,IV,MAK97,iron,True,75
False,False,False,98,121,IV,TheSupremeRJ,iron,True,71
False,False,False,75,155,IV,GuyAssassin,iron,True,97
False,False,False,0,122,IV,Pabie GO,iron,True,27
False,False,False,39,145,IV,WraithDaGhost,iron,True,109
False,False,False,97,29,IV,239583,iron,False,5
False,False,False,0,246,IV,Ukoti,iron,True,197
False,False,False,70,7,IV,DEMONIAI,iron,False,1
False,False,False,43,121,IV,juanubz3,iron,True,55
False,False,False,70,7,IV,InsaneBeam101,iron,False,1
False,False,False,48,86,IV,kylebeausoleil,iron,True,33
False,False,False,52,96,IV,dittotron,iron,False,31
False,False,False,20,319,IV,   Ul II M II lU,iron,True,195
False,False,False,64,8,IV,ArlensM,iron,False,1
False,False,False,52,54,IV,ZeynK,iron,False,14
False,False,False,60,76,IV,pHanTomARC1,iron,True,26
False,False,False,43,131,IV,fnordfeline,iron,True,68
False,False,False,61,26,IV,donbigg,iron,False,8
False,False,False,100,239,IV,TH CLOSE,iron,True,180
False,False,False,62,16,IV,llIllIlIllIllIll,iron,False,2
False,False,False,61,75,IV,MF 0R TR0LL,iron,False,27
False,False,False,54,264,IV,YeRedKeyEye25,iron,True,133
False,False,False,83,93,IV,IRON GATEKEEPERS,iron,True,31
False,False,False,77,184,IV,Littlebunnyphu,iron,True,120
False,False,False,48,439,IV,Meow Nyang,iron,True,205
False,False,False,49,47,IV,GPV247,iron,False,1
False,False,False,41,155,IV,archave,iron,True,88
False,False,False,0,93,IV,Tohoku Kiritan,iron,False,14
False,False,False,82,147,IV,Chronosinger,iron,True,89
False,False,False,0,89,IV,TakeMeToTheTop,iron,False,24
False,False,False,60,87,IV,wPfYAnn,iron,False,28
False,False,False,0,105,IV,FaZeFakayttv,iron,True,42
False,False,False,100,10,IV,spinkli,iron,False,3
False,False,False,29,213,IV,redmingxxx,iron,True,100
False,False,False,19,155,IV,matrix14729,iron,True,71
False,False,False,0,64,IV,dsn,iron,False,0
False,False,False,75,47,IV,K34Y34S,iron,False,1
False,False,False,0,63,IV,positive comment,iron,False,12
False,False,False,72,78,IV,Oracle Hamster,iron,False,29
False,True,False,100,246,IV,DixieCrook,iron,True,170
False,False,False,14,148,IV,Alpha Male 2004,iron,True,68
False,False,False,0,197,IV,God Zed,iron,True,31
False,False,False,29,155,IV,SupremeMickey,iron,True,97
False,False,False,29,112,IV,theycallmeamir,iron,False,51
False,True,False,77,134,IV,Iron Maniac,iron,True,72
False,False,False,75,52,IV,nPaula,iron,False,2
False,False,False,69,147,IV,LoLSillyGnome,iron,True,69
False,False,False,59,83,IV,AaronTorkil,iron,False,31
False,False,False,67,81,IV,CammyIce,iron,True,26
False,False,False,15,64,IV,ZipZap,iron,True,39
False,False,False,73,53,IV,lRON IMMIGRANT,iron,False,8
False,False,False,67,142,IV,noface,iron,True,104
False,False,False,0,193,IV,is this taken,iron,True,78
False,False,False,45,67,IV,Niloc Jin,iron,True,49
False,False,False,85,15,IV,bodyshot,iron,False,3
False,False,False,95,7,IV,SquishyGhost,iron,False,3
False,False,False,90,159,IV,Chase to DIE,iron,True,69
False,False,False,70,8,IV,LadyYunie,iron,False,3
False,False,False,60,27,IV,MUNICOS,iron,False,12
False,False,False,75,16,IV,Bump1,iron,False,6
False,False,False,0,175,IV,Edstr0m11,iron,True,68
False,False,False,0,9,IV,gbrenik,iron,False,0
False,False,False,86,6,IV,Khankore,iron,False,2
False,False,False,68,6,IV,millerlite86,iron,False,2
False,False,False,78,10,IV,RiftKitty Nyx,iron,False,2
False,False,False,49,229,IV,Toxic Brent,iron,True,141
False,False,False,50,24,IV,PUCK73,iron,False,20
False,False,False,82,26,IV,zadaain,iron,False,22
False,False,False,37,16,IV,icecold11786,iron,False,5
False,False,False,16,30,IV,intelleganve,iron,False,16
False,False,False,44,41,IV,spack,iron,False,30
False,False,False,57,14,IV,iSnatchBitches,iron,False,2
False,False,False,0,91,IV,greenhead44,iron,True,51
False,False,False,72,44,IV,Mateo Fuego,iron,False,19
False,False,False,70,9,IV,Malpositioning,iron,False,2
False,False,False,27,16,IV,Aadek,iron,False,2
False,False,False,0,46,IV,KADAMA,iron,False,10
False,False,False,0,11,IV,DasBirney,iron,False,0
False,False,False,70,7,IV,InducedPsychosis,iron,False,1
False,False,False,89,10,IV,ZeeKiller,iron,False,2
False,False,False,94,7,IV,Groedius,iron,False,3
False,False,False,67,7,IV,Benyamien,iron,False,1
False,False,False,61,13,IV,Reaper grim,iron,False,2
False,False,False,27,193,IV,Bikini Funny,iron,True,152
False,False,False,100,9,IV,koz1974,iron,False,5
False,False,False,45,178,IV,ML1,iron,True,116
False,False,False,98,9,IV,ShadowEli,iron,False,2
False,False,False,71,75,IV,PsuedoDiety,iron,False,14
False,False,False,46,126,IV,paule383,iron,True,85
False,False,False,91,12,IV,710Space Invader,iron,False,3
False,False,False,35,9,IV,thesunlightman,iron,False,1
False,False,False,45,40,IV,FiddlesticksPro,iron,False,23
False,False,False,70,7,IV,I Miranda Kerr I,iron,False,1
False,False,False,19,10,IV,Jalleyfish,iron,False,2
False,False,False,61,8,IV,RankinDeath,iron,False,1
False,False,False,70,7,IV,DrakothX,iron,False,1
False,False,False,83,65,IV,Kawi232,iron,True,46
False,False,False,81,11,IV,MariusTook,iron,False,2
False,False,False,55,11,IV,HitomiUri,iron,False,6
False,False,False,72,13,IV,deucetin,iron,False,2
False,False,False,0,83,IV,DarrowAndromedus,iron,True,66
False,False,False,89,9,IV,Lilstocky,iron,False,2
False,False,False,20,101,IV,Jarmageddon,iron,True,40
True,False,False,100,125,IV,benny9898,iron,False,59
